序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
1,"年产超导电缆100公里（6千伏及以上（陆上用）干法交联电力电缆制造项目除外）、超导磁体50台-生产车间2,生产车间3,研发车间,门卫2",吴江经济技术开发区大兢路518号,苏州市吴江经济技术开发区大兢路518号,5850.04,房屋建筑,
2,年产环保包装纸制品7500万平方米（一期建设工程（包含：2#厂房、配电房、门卫一、门卫二））,吴江经济技术开发区同津大道东侧、云龙东路北侧,苏州市吴江经济技术开发区同津大道东侧、云龙东路北侧,8100,房屋建筑,
3,年产塑料制品600吨及光学扩散板2万吨项目,经济技术开发区长港路南横桥路西侧,苏州市经济技术开发区长港路南横桥路西侧,9510.41,房屋建筑,
4,年包装商品4000万件-年包装商品4000万件,吴江经济技术开发区同津大道1688号,苏州市吴江经济技术开发区同津大道1688号,20100,房屋建筑,
5,内部装修,苏州市吴江区同里镇云梨路528号,苏州市苏州市吴江区同里镇云梨路528号,500,装饰装修,
6,内部装修-苏州朗信智能科技有限公司内部装修,江苏省苏州市吴江经济技术开发区光明路1868号E栋北侧,苏州市江苏省苏州市吴江经济技术开发区光明路1868号E栋北侧,85,装饰装修,
7,内部装修,吴江经济技术开发区叶锦路8号,苏州市吴江经济技术开发区叶锦路8号,30,装饰装修,
8,苏州京东方医院扩建工程,江苏省苏州市吴江区庞东路600号,苏州市江苏省苏州市吴江区庞东路600号,2457.3,房屋建筑,
9,扩建厂房,苏州市吴江区同里镇同肖西路1999号,苏州市苏州市吴江区同里镇同肖西路1999号,223,房屋建筑,
10,内部装修-内部装修,吴江经济技术开发区庞金路1801号庞金工业坊,苏州市吴江经济技术开发区庞金路1801号庞金工业坊,682.06,装饰装修,
11,内部装修,江苏省吴江经济开发区庞金路808号,苏州市江苏省吴江经济开发区庞金路808号,458.2,装饰装修,
12,内部装修,吴江经济技术开发庞北路东侧,苏州市吴江经济技术开发庞北路东侧,1598.86,装饰装修,
14,吴江开发区（同里镇）庞东路东侧栅桥路南侧地块项目（WJ-J-2020-019）二期,吴江开发区庞东路东侧栅桥路南侧,苏州市吴江开发区庞东路东侧栅桥路南侧,65204.03,房屋建筑,
15,"年产铜箔2.2万吨-车间一,车间二,取水泵房,门卫",江苏省苏州市吴江区震泽镇朱家浜村,苏州市江苏省苏州市吴江区震泽镇朱家浜村,2508.68,房屋建筑,
16,"改建厂房40000平方米-生产车间一,生产车间四",吴江经济开发区（同里镇）屯村合心村,苏州市吴江经济开发区（同里镇）屯村合心村,2420,房屋建筑,
17,年产给排水成套设备200套项目-车间一,吴江区同里镇上元街富士路,苏州市吴江区同里镇上元街富士路,630,房屋建筑,
18,新建厂房和辅房100000平方米（2#厂房、3#厂房）,震泽镇双阳村民营开发区318国道南侧,苏州市震泽镇双阳村民营开发区318国道南侧,5023.01,房屋建筑,
19,公司整体搬迁改造项目三标段,大兢路与同津大道交叉口东南侧地块,苏州市大兢路与同津大道交叉口东南侧地块,217.01,房屋建筑,
20,"新建辅房-新建辅房,门卫",吴江经济技术开发区泉源路68号,苏州市吴江经济技术开发区泉源路68号,6000,房屋建筑,
21,年产2400万平方米光伏玻璃,苏州吴江经济开发区潘龙路88号,苏州市苏州吴江经济开发区潘龙路88号,1355,房屋建筑,
22,年产200吨益生菌菌粉及10000吨微生态制剂项目-车间一,吴江经济技术开发区大兢路、光明路交叉口西北侧,苏州市吴江经济技术开发区大兢路、光明路交叉口西北侧,2950,房屋建筑,
23,年产纸板500万平方米-新建车间二,吴江经济技术开发区西联村,苏州市吴江经济技术开发区西联村,2466,房屋建筑,
24,"年产120万平方米中空玻璃-玻璃加工车间（三期）,危险品库,垃圾池（含雨水收集池、应急池）,消防泵房及水池",吴江经济开发区庞金路869号。,苏州市吴江经济开发区庞金路869号。,5925.71,房屋建筑,
25,吴江区震泽实验小学新建教学楼工程,苏州市吴江区震泽镇镇南一路1688号,苏州市苏州市吴江区震泽镇镇南一路1688号,6669.21,房屋建筑,
26,年产液压元件35万件,吴江经济技术开发区兴东路西侧采字路北侧,苏州市吴江经济技术开发区兴东路西侧采字路北侧,68725.56,房屋建筑,
27,"年产视觉模块3000套、工业机器人2000台、伺服驱动产品6000台-4#车间,5#车间,设备用房2,消防控制室2",苏州市吴江经济技术开发区富家路、乌金路交叉口西北侧,苏州市苏州市吴江经济技术开发区富家路、乌金路交叉口西北侧,4418,房屋建筑,
28,"新建厂房-车间四,配电间2",吴江经济技术开发区庞东路以东南村路以北,苏州市吴江经济技术开发区庞东路以东南村路以北,2230,房屋建筑,
29,2#车间、3#车间,苏州市吴江经济技术开发区富家路、乌金路交叉口西北侧,苏州市苏州市吴江经济技术开发区富家路、乌金路交叉口西北侧,4742.38,房屋建筑,
30,新建厂房（平谦国际一期厂房工程 厂房K）,苏州市吴江经济技术开发区光明路1868号,苏州市苏州市吴江经济技术开发区光明路1868号,4000,房屋建筑,
31,WJ-J-2020-014号地块商住项目三期商业,吴江区震泽镇镇南路南侧双泽路东侧,苏州市吴江区震泽镇镇南路南侧双泽路东侧,4581.72,房屋建筑,
32,",生产车间、配电房、消防水池,生产车间、配电房、消防水池",吴江经济技术开发区厍浜路,苏州市吴江经济技术开发区厍浜路,1500,房屋建筑,
33,年产电子电器外壳500万件、汽车零部件200万件、家电组件500万件,吴江经济技术开发区山湖西路305号,苏州市吴江经济技术开发区山湖西路305号,7020,房屋建筑,
34,欣安吴江新建厂房,苏州市吴江区叶港路333号,苏州市苏州市吴江区叶港路333号,813,房屋建筑,
35,年产洁净板材100万平方米、空气净化设备50万台,吴江经济技术开发区山湖西路658号,苏州市吴江经济技术开发区山湖西路658号,3110,房屋建筑,
36,年产冲压件1296万件项目-车间三,吴江经济技术开发区吉市东路南侧,苏州市吴江经济技术开发区吉市东路南侧,1299.16,房屋建筑,
37,年产阿拉伯头巾500万条，服装服饰99万件-车间七,吴江区震泽镇八都社区明港大道东侧,苏州市吴江区震泽镇八都社区明港大道东侧,1100,房屋建筑,
38,年产金属制品5000吨项目（新建厂房）,江苏省苏州市吴江区震泽镇新乐村31组,苏州市江苏省苏州市吴江区震泽镇新乐村31组,750,房屋建筑,
40,新建厂房38000平方米,吴江区八都镇龙降桥村七、八组,苏州市吴江区八都镇龙降桥村七、八组,1500,房屋建筑,
41,年产连接器5000万套、接插器50亿只,山湖西路355号,苏州市山湖西路355号,1567.04,房屋建筑,
42,扩建厂房及辅房,吴江经济技术开发区同津大道新字路交叉口西北侧,苏州市吴江经济技术开发区同津大道新字路交叉口西北侧,670,房屋建筑,
43,年产庭园金属家具50万套生产技术改造项目（生产车间）,震泽民营开发区,苏州市震泽民营开发区,2877,房屋建筑,
44,年产1200万片新型电子器件,吴江经济技术开发区同津大道与江兴路交界处,苏州市吴江经济技术开发区同津大道与江兴路交界处,16550,房屋建筑,
45,"WJ-J-2017-041、WJ-J-2017-042地块住宅项目-11#,17#",吴江经济技术开发区江陵东路南侧、运东大道西侧,苏州市吴江经济技术开发区江陵东路南侧、运东大道西侧,7266.97,房屋建筑,
46,"WJ-J-2017-041、WJ-J-2017-042地块住宅项目-1#,2#,3#,4#,5#,9#,10#,16#,22#,28#,29#,2#变配电,2#开闭所、3#变配电,6#变配电,2#门卫",吴江经济技术开发区江陵东路南侧、运东大道西侧,苏州市吴江经济技术开发区江陵东路南侧、运东大道西侧,15573.34,房屋建筑,
47,"新建厂房项目-消防水池,汽车坡道",吴江经济技术开发区兴东路西侧,苏州市吴江经济技术开发区兴东路西侧,691.35,房屋建筑,
48,"新建厂房项目-16#车间,17#车间18#车间,19#仓库,20#仓库,C连廊,门卫四,门卫三,舞台",吴江经济技术开发区兴东路西侧,苏州市吴江经济技术开发区兴东路西侧,8293.31,房屋建筑,
49,苏州湾天空之城商服项目-2-4#,吴江区经济技术开发区庞金路东侧、云梨路南侧地块,苏州市吴江区经济技术开发区庞金路东侧、云梨路南侧地块,14340.95,房屋建筑,
51,吴江华丰电子科技园区停车栋新建工程,吴江经济技术开发区吉市路168号,苏州市吴江经济技术开发区吉市路168号,2350,房屋建筑,
52,年产纸制品20亿只项目（生产车间、仓库、连廊),苏州市吴江区震泽镇曹村村,苏州市苏州市吴江区震泽镇曹村村,2980,房屋建筑,
53,吴江开发区（同里镇）庞东路东侧栅桥路南侧地块（WJ-J-2020-019）一期S1#楼,吴江区庞东路东侧栅桥路南侧,苏州市吴江区庞东路东侧栅桥路南侧,200.37,房屋建筑,
54,"新建厂房项目-1#仓库,3#仓库,5#仓库,7#厂房,9#厂房,11#厂房,13#厂房,15#仓库,B连廊",吴江经济技术开发区兴瑞路,苏州市吴江经济技术开发区兴瑞路,12300,房屋建筑,
55,年产服饰99万件-年产服饰99万件项目（车间一）,吴江区震泽镇朱家浜村,苏州市吴江区震泽镇朱家浜村,736,房屋建筑,
56,内部装修,江苏省苏州市吴江区同里镇环湖西路233号,苏州市江苏省苏州市吴江区同里镇环湖西路233号,46,装饰装修,
57,年产瓦楞纸箱3000万平方米（新建生产车间）,吴江经济技术开发区富土路111号,苏州市吴江经济技术开发区富土路111号,1495,房屋建筑,
58,增资建设年产伺服传动设备60000件厂房一、消控室及泵房水池,吴江经济技术开发区东河东侧、庞东路西侧,苏州市吴江经济技术开发区东河东侧、庞东路西侧,4455.88,房屋建筑,
60,吴江开发区（同里镇）庞东路东侧栅桥路南侧地块（WJ-J-2020-019）一期（14#、20#-32#楼、S2#、D3#、D4#、D7#、地库二）,吴江开发区庞东路东侧栅桥路南侧,苏州市吴江开发区庞东路东侧栅桥路南侧,83280.94,房屋建筑,
61,5#车间,吴江经济开发区甘泉西路807号,苏州市吴江经济开发区甘泉西路807号,922,房屋建筑,
63,WJ-J-2020-014号地块商住项目（1#-18#、P1#、P2#、P3#、门卫、地下车库、垃圾房）,吴江区震泽镇镇南路南侧双泽路东侧,苏州市吴江区震泽镇镇南路南侧双泽路东侧,32497.17,房屋建筑,
64,年产塑料膜、塑料包装袋5000吨（厚度0.03mm以上），生物降解包装袋3000吨（厚度0.025mm以上）2#车间、3#宿舍,苏州市吴江经济技术开发区同里镇富士路89号,苏州市苏州市吴江经济技术开发区同里镇富士路89号,3580,房屋建筑,
65,年产使用环保型中压气体的绝缘开关柜及智能化成套设备2000件,吴江区吴江经济技术开发区叶明路208号,苏州市吴江区吴江经济技术开发区叶明路208号,2520,房屋建筑,
66,吉市路幼儿园工程,吴江经济技术开发区吉市路与庞北路交叉口,苏州市吴江经济技术开发区吉市路与庞北路交叉口,8436.19,房屋建筑,
67,"年产有机高分子环保滤材100万平方米项目-车间一,仓库,综合楼,门卫一,地下喷淋水池及泵房",吴江区震泽镇朱家浜村,苏州市吴江区震泽镇朱家浜村,3280,房屋建筑,
68,WJ-J-2020-014号地块商住项目一期（19#）,吴江区震泽镇镇南路南侧双泽路东侧,苏州市吴江区震泽镇镇南路南侧双泽路东侧,100,房屋建筑,
69,年产高精密光电胶带5000万平方米、高精密电子零配件及3C产品配件5亿片,苏州市吴江区,苏州市苏州市吴江区,7700,房屋建筑,
70,公司整体搬迁改造项目二标段,大兢路与同津大道交叉口东南侧地块,苏州市大兢路与同津大道交叉口东南侧地块,17711.01,房屋建筑,
71,吴江区同里镇区域性养老服务中心项目,新大桥路东地块2,苏州市新大桥路东地块2,7761.88,房屋建筑,
72,扩建厂房,吴江区经济技术开发区庞南路西侧，庞南路799号,苏州市吴江区经济技术开发区庞南路西侧，庞南路799号,1800,房屋建筑,
73,年产2万件海绵制品件项目,吴江开发区兴东路，南巷路交叉口西北侧地块,苏州市吴江开发区兴东路，南巷路交叉口西北侧地块,1386,房屋建筑,
74,新建厂房,吴江经济技术开发区富家路、乌金路交叉口西北侧地块,苏州市吴江经济技术开发区富家路、乌金路交叉口西北侧地块,11000,房屋建筑,
75,公司整体搬迁改造项目一标段,大兢路与同津大道交叉口东南侧地块,苏州市大兢路与同津大道交叉口东南侧地块,23558.1,房屋建筑,
76,苏州市吴江区WJ-J-2019-033号地块建设项目工程总承包（34#）,吴江经济技术开发区庞山路东侧运东大道南侧,苏州市吴江经济技术开发区庞山路东侧运东大道南侧,126,房屋建筑,
77,新建厂房25000平方米项目（1#厂房）,苏州市吴江区震泽镇双阳村民营开发区318国道南侧,苏州市苏州市吴江区震泽镇双阳村民营开发区318国道南侧,3587.98,房屋建筑,
78,"双阳新农村安置房工程（34#楼,35#楼,生活泵房、地下消防水池及配电间）",吴江区震泽镇,苏州市吴江区震泽镇,2651.92,房屋建筑,
79,吴江区震泽镇震泽公园南侧藕河街北侧地块酒店项目,苏州市吴江区震泽镇藕河街,苏州市苏州市吴江区震泽镇藕河街,10888,房屋建筑,
80,WJ-J-2019-033号地块建设项目-1#~44#、M1#~M3#、地下车库,吴江经济技术开发区庞山路东侧运东大道南侧,苏州市吴江经济技术开发区庞山路东侧运东大道南侧,71948.27,房屋建筑,
81,"改建车间及新建配套用房项目-地磅棚、地磅房,卸料棚,生产塔楼-1,生产塔楼-2,厂房-2",中国江苏省吴江经济开发区光明路1899号,苏州市中国江苏省吴江经济开发区光明路1899号,5946.8,房屋建筑,
82,WJ-J-2019-013地块商服项目-会议中心大楼,吴江经济技术开发区运东大道东侧、云梨路北侧01地块，东至空地、南至行政中心、西至行政中心、北至大窑港,苏州市吴江经济技术开发区运东大道东侧、云梨路北侧01地块，东至空地、南至行政中心、西至行政中心、北至大窑港,8736.86,房屋建筑,
83,厂区工程,吴江经济开发区吉市东路与新浜路交叉口东南侧,苏州市吴江经济开发区吉市东路与新浜路交叉口东南侧,4580,房屋建筑,
84,塔影湾花苑安置小区一期二标段A区工程（6#、9#、17#、19#）,吴江区震泽镇塔影路南侧,苏州市吴江区震泽镇塔影路南侧,6617.92,房屋建筑,
85,塔影湾花苑安置小区一期二标段B区工程（7#、10#及人防地下室）,吴江区震泽镇,苏州市吴江区震泽镇,7170.33,房屋建筑,
86,吴江经济技术开发区运河实验学校二标段工程,吴江经济技术开发区湖心西路南与庞山路东的交叉口,苏州市吴江经济技术开发区湖心西路南与庞山路东的交叉口,14607.76,房屋建筑,
87,上海城新天地家园C区,震泽镇八都八七公路东侧,苏州市震泽镇八都八七公路东侧,5108,房屋建筑,
88,"年生产自动化设备800套项目（1#车间,2#车间,3#车间,4#车间、停车库,设备用房,消防控制室）",山湖西路庞山路交叉口东南侧,苏州市山湖西路庞山路交叉口东南侧,31240.09,房屋建筑,
89,WJ-J-2018-037地块住宅项目-吴江开发区（同里镇）WJ-J-2018-037地块住宅项目,吴江开发区（同里镇）北至万宇路、东至运东大道、西至运河中路、南至万湖路,苏州市吴江开发区（同里镇）北至万宇路、东至运东大道、西至运河中路、南至万湖路,34893.18,房屋建筑,
90,"吴江敏华寝居项目-地下车库二,1#宿舍,2#宿舍,餐厅",吴江经济技术开发区兴瑞路北地块,苏州市吴江经济技术开发区兴瑞路北地块,2720,房屋建筑,
91,车间一、二、消防泵房、消防水池、门卫、食堂,吴江区经济技术开发区富家路与乌金路交叉口西北侧,苏州市吴江区经济技术开发区富家路与乌金路交叉口西北侧,3520,房屋建筑,
92,吴江经济技术开发区WJ-J-2018-018地块普通住宅项目（一期）,吴江经济技术开发区吉市西路、运东大道交叉口西北侧,苏州市吴江经济技术开发区吉市西路、运东大道交叉口西北侧,65103.48,房屋建筑,
93,吴江经济技术开发区WJ-J-2018-019地块项目(1#、5#、7#、11#、12#、配电房4#),苏州市吴江开发区（同里镇）吉市西路、运河北路交叉口东北侧,苏州市苏州市吴江开发区（同里镇）吉市西路、运河北路交叉口东北侧,22700,房屋建筑,
94,山湖花园九区动迁安置房五标段（13#、16#、21#物业、养老设施用房、28#配电间三、31#开闭所二、配电间五、地库3）,吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,苏州市吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,12431.69,房屋建筑,
95,"山湖花园九区动迁安置房项目-6#,7#,22#社区管理用房,地库1",吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,苏州市吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,10742.9,房屋建筑,
96,山湖花园九区动迁安置房二标段（3#、4#、8#、12#、开闭所、2栋配电房）,兴东路、山湖东路交叉口北侧,苏州市兴东路、山湖东路交叉口北侧,13294.79,房屋建筑,
97,山湖花园九区动迁安置房一标段（1#、2#、5#、9#、2栋门卫、配电房）,吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,苏州市吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,13308.99,房屋建筑,
98,"山湖花园九区动迁安置房项目17#,18#,19#,20#,25#门卫,33#垃圾房,34#燃气调压室",吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,苏州市吴江经济技术开发区（同里镇）兴东路、山湖东路交叉口西北侧,13194.69,房屋建筑,
99,山湖花园九区动迁安置房四标段（10#、11#、14#、15#、32#配电间六、地库2）,兴东路、山湖东路交叉口西北侧,苏州市兴东路、山湖东路交叉口西北侧,14328.35,房屋建筑,
100,"吴江经济技术开发区WJ-J-2018-019地块项目(2#,3#,4#,8#,9#,10#,13#,14#,15#,16#住宅楼,门卫1,门卫2,配电房1#,开闭所、配电房2#，配电房3#,地库)",苏州市吴江开发区（同里镇）吉市西路、运河北路交叉口东北侧,苏州市苏州市吴江开发区（同里镇）吉市西路、运河北路交叉口东北侧,25000,房屋建筑,
101,车间一、车间二、办公楼、研发车间、配电房、门卫、泵房,庞金路以东、湖心西路以北,苏州市庞金路以东、湖心西路以北,2220,房屋建筑,
102,WJ-J-2017-041、042号地块一期（6-8#、12-15#、18-21#、23-27#、幼儿园、幼儿园门卫幼儿园专变、1#变配电开闭所、1#门卫、4#变配电、5#变配电、垃圾房、地下车库一）,吴江经济技术开发区江陵东路南侧、运东大道西侧,苏州市吴江经济技术开发区江陵东路南侧、运东大道西侧,60000,房屋建筑,
103,"“WJ-J-2019-019号”地块建设项目-4#,5#,6#,7#,8#,9#,10#,2#配电房,3#配电房,开关站,地下车库,1-2#门卫,3-4#门卫",苏州吴江半岛路南，环湖路东,苏州市苏州吴江半岛路南，环湖路东,71500,房屋建筑,
104,“WJ-J-2019-019号”地块建设项目二期（总承包）,吴江开发区滨湖北路西侧、半岛路南侧、太湖东侧,苏州市吴江开发区滨湖北路西侧、半岛路南侧、太湖东侧,44000,房屋建筑,
105,"“WJ-J-2019-019号”地块建设项目-1#,2#,3#,地下车库二,1#配电房,4#服务型公寓,5#商业",吴江开发区太湖梢1号地块,苏州市吴江开发区太湖梢1号地块,39600,房屋建筑,
106,WJ-J-2019-020地块一期（8#11#12#13#、P6#物业用房、P7#垃圾收集站、P8#开闭所、P9#配电房）,吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,7338.98,房屋建筑,
107,WJ-J-2019-020地块二期（7#、9#、10#、P10#3#配电房、地下车库二）,吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,12421.32,房屋建筑,
108,WJ-J-2019-020地块一期（2#5#住宅、地下车库一）,吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,6513.97,房屋建筑,
109,WJ-J-2019-020地块二期（1#、3#、4#、6#、P1#1#配电房、P2#门卫、P3#居家养老服务用房、P4#（物业管理用房、消防控制室、通信机房）、P5#2#配电房）,吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,10432.49,房屋建筑,
110,WJ-J-2019-020地块三期(1#楼～12#楼、P1#～P4#、(P5、6#)、地下车库),吴江经济技术开发区太湖梢2号地块,苏州市吴江经济技术开发区太湖梢2号地块,21991.3,房屋建筑,
112,WJ-J-2019-022地块项目,吴江开发区（同里镇）云龙西路北侧、杨中路东侧、益和路南侧,苏州市吴江开发区（同里镇）云龙西路北侧、杨中路东侧、益和路南侧,40000,房屋建筑,
113,9#地块3#、4#、7#～12#楼、地下车库（02区）、2#、3#配电房、1#、2#门卫工程,吴江经济开发区江陵西路,苏州市吴江经济开发区江陵西路,19345,房屋建筑,
114,"年产消防系统50000套项目-车间三,车间四,门卫",吴江经济技术开发区云龙西路北侧长安路东侧,苏州市吴江经济技术开发区云龙西路北侧长安路东侧,2320,房屋建筑,
115,年产单臂机器人模组60000套项目-五金加工车间,吴江经济技术开发区二二七复线西侧,苏州市吴江经济技术开发区二二七复线西侧,1498,房屋建筑,
120,年产通用设备100台（科创园1#、2#厂房）,吴江区云创路西侧、长安路东侧,苏州市吴江区云创路西侧、长安路东侧,3981.4,房屋建筑,
121,"创新性治疗用单克隆抗体产业化-车间二,车间三,仓库一,仓库二,设备用房（污水处理站房）",吴江经济技术开发区云创路以东、龙桥路以西,苏州市吴江经济技术开发区云创路以东、龙桥路以西,8453.12,房屋建筑,
122,"创新性治疗用单克隆抗体产业化-车间四,危险品库,设备用房（动力中心）,地下室,职工宿舍,门卫",吴江区龙桥路西、云创路东,苏州市吴江区龙桥路西、云创路东,9331.97,房屋建筑,
123,年组装汽车配件15000台套项目（车间一、门卫及地下消防水池）,吴江区太湖新城友谊工业区,苏州市吴江区太湖新城友谊工业区,2315.94,房屋建筑,
125,太湖新城WJ-J-2018-034地块商服项目（亨通苏州湾文化旅游项目二期）,吴江区太湖新城旅游度假区规划内湖东侧,苏州市吴江区太湖新城旅游度假区规划内湖东侧,7228,房屋建筑,
126,太湖新城（松陵镇）胜信路南侧行船河路西侧03地块商服项目,吴江区太湖新城胜信路南侧行船河路西侧,苏州市吴江区太湖新城胜信路南侧行船河路西侧,4289.94,房屋建筑,
127,吴江区生活垃圾焚烧发电扩容建设项目（生活垃圾焚烧厂二期）,苏州市吴江区松陵镇太湖新城汤华村（苏同黎公路西侧）,苏州市苏州市吴江区松陵镇太湖新城汤华村（苏同黎公路西侧）,32600,房屋建筑,
129,苏州长三角示范区产学研合作园（一期项目）1#综合楼、2#动力房,吴江区227省道西侧、莘七公路北侧,苏州市吴江区227省道西侧、莘七公路北侧,7526.75,房屋建筑,
130,太湖新城（松陵镇）WJ-J-2016-046地块商业用房项目-太湖新城（松陵镇）WJ-J-2016-046地块商业用房,太湖新城（松陵镇）旅游度假区01地块，王焰南边，省道西边,苏州市太湖新城（松陵镇）旅游度假区01地块，王焰南边，省道西边,16000,房屋建筑,
131,新建厂房（车间六、配电间）,吴江区松陵镇八坼友谊村6组,苏州市吴江区松陵镇八坼友谊村6组,2900,房屋建筑,
132,"年产超滤设备1万套项目-1#办公楼,2#厂房,3#厂房",苏州市吴江横扇街道菀坪创业路西侧南新路北侧,苏州市苏州市吴江横扇街道菀坪创业路西侧南新路北侧,6000,房屋建筑,
133,1#车间,苏州市吴江区七都镇吴越路西侧,苏州市苏州市吴江区七都镇吴越路西侧,772.8,房屋建筑,
134,年产新型高分子建筑防水卷材1亿平方米（聚乙烯丙纶类复合防水卷材、S型聚氯乙烯防水卷材除外),吴江区七都镇,苏州市吴江区七都镇,11511.3,房屋建筑,
136,新建人才公寓16300平方米,吴江区七都镇七都大道南,苏州市吴江区七都镇七都大道南,3708.34,房屋建筑,
137,新建生产车间14400平方米项目（车间、消防水池）,吴江区七都镇庙港开发区,苏州市吴江区七都镇庙港开发区,2080,房屋建筑,
138,年产服装98万件-车间一,苏州市吴江区七都镇庙港开弦弓村,苏州市苏州市吴江区七都镇庙港开弦弓村,2620,房屋建筑,
